Date;Time;Temperature;Mode
2018-04-09;07:27:01,160;17.8;confort
2018-04-09;07:42:01,197;17.9;confort
2018-04-09;07:57:01,233;17.9;confort
2018-04-09;08:12:01,270;17.7;eco
2018-04-09;08:27:01,306;17.6;eco
2018-04-09;08:42:01,343;17.6;eco
2018-04-09;08:57:01,379;17.5;eco
2018-04-09;09:12:01,416;17.4;eco
2018-04-09;09:27:01,452;17.4;eco
2018-04-09;09:42:01,489;17.4;eco
2018-04-09;09:57:01,526;17.3;eco
2018-04-09;10:12:01,563;17.3;eco
2018-04-09;10:27:01,600;17.3;eco
2018-04-09;10:42:01,635;17.2;eco
2018-04-09;10:57:01,669;17.3;eco
2018-04-09;11:12:01,706;17.3;eco
2018-04-09;11:27:01,742;17.2;eco
2018-04-09;11:42:01,778;17.4;eco
2018-04-09;11:57:01,815;17.4;eco
2018-04-09;12:12:01,852;17.5;eco
2018-04-09;12:27:01,889;17.6;eco
2018-04-09;12:42:01,925;17.7;eco
2018-04-09;12:57:01,962;17.9;eco
2018-04-09;13:12:01,998;58.0;eco
2018-04-09;13:27:02,035;19.1;eco
2018-04-09;13:42:02,071;58.0;eco
2018-04-09;13:57:02,107;20.1;eco
2018-04-09;14:12:02,144;20.6;eco
2018-04-09;14:27:02,180;29.9;eco
2018-04-09;14:42:02,217;20.1;eco
2018-04-09;14:57:02,253;26.9;eco
2018-04-09;15:12:02,290;20.3;eco
2018-04-09;15:27:02,327;19.4;eco
2018-04-09;15:42:02,364;21.3;eco
2018-04-09;15:57:02,401;22.8;confort
2018-04-09;16:12:02,437;19.5;confort
2018-04-09;16:27:02,474;19.5;confort
2018-04-09;16:42:02,510;19.5;confort
2018-04-09;16:57:02,547;19.3;confort
2018-04-09;17:12:02,583;19.6;confort
2018-04-09;17:27:02,619;19.7;confort
2018-04-09;17:42:02,656;19.8;confort
2018-04-09;17:57:02,692;19.9;confort
2018-04-09;18:12:02,728;19.7;confort
2018-04-09;18:27:02,765;19.5;confort
2018-04-09;18:42:02,802;19.4;confort
2018-04-09;18:57:02,839;19.1;confort
2018-04-09;19:12:02,875;19.1;confort
2018-04-09;19:27:02,911;19.0;confort
2018-04-09;19:42:02,948;18.8;confort
2018-04-09;19:57:02,984;18.8;confort
2018-04-09;20:12:03,021;18.7;confort
2018-04-09;20:27:03,057;18.5;confort
2018-04-09;20:42:03,094;18.4;confort
2018-04-09;20:57:03,130;18.4;confort
2018-04-09;21:12:03,166;18.4;confort
2018-04-09;21:27:03,203;18.3;confort
2018-04-09;21:42:03,239;18.3;confort
2018-04-09;21:57:03,275;18.0;confort
2018-04-09;22:21:00,520;18.3;eco
2018-04-09;22:24:26,268;18.2;eco
2018-04-09;22:39:26,304;18.3;eco
2018-04-09;22:54:26,342;18.1;eco
2018-04-09;23:09:26,380;17.9;eco
2018-04-09;23:24:26,449;17.9;eco
2018-04-09;23:39:26,499;17.7;eco
2018-04-09;23:54:26,537;17.6;eco
2018-04-10;00:09:26,575;17.5;eco
2018-04-10;00:24:26,612;17.4;eco
2018-04-10;00:39:26,651;17.4;eco
2018-04-10;00:54:26,688;17.4;eco
2018-04-10;01:09:26,726;17.3;eco
2018-04-10;01:24:26,764;17.2;eco
2018-04-10;01:39:26,803;17.2;eco
2018-04-10;01:54:26,840;17.2;eco
2018-04-10;02:09:26,878;17.1;eco
2018-04-10;02:24:26,915;17.0;eco
2018-04-10;02:39:26,953;17.0;eco
2018-04-10;02:54:26,991;17.0;eco
2018-04-10;03:09:27,029;16.9;eco
2018-04-10;03:24:27,067;16.9;eco
2018-04-10;03:39:27,105;16.9;eco
2018-04-10;03:54:27,142;16.8;eco
2018-04-10;04:09:27,171;16.8;eco
2018-04-10;04:24:27,206;16.8;eco
2018-04-10;04:39:27,245;16.7;eco
2018-04-10;04:54:27,282;16.7;eco
2018-04-10;05:09:27,320;16.7;eco
2018-04-10;05:24:27,357;16.7;eco
2018-04-10;05:39:27,396;16.6;eco
2018-04-10;05:54:27,434;16.7;eco
2018-04-10;06:09:27,472;16.7;confort
2018-04-10;06:24:27,509;16.8;confort
2018-04-10;06:39:27,547;17.0;confort
2018-04-10;06:54:27,585;17.0;confort
2018-04-10;07:09:27,622;17.0;confort
2018-04-10;07:24:27,660;17.0;confort
2018-04-10;07:39:27,698;17.1;confort
2018-04-10;07:54:27,736;17.1;confort
2018-04-10;08:09:27,777;17.1;eco
2018-04-10;08:24:27,815;17.0;eco
2018-04-10;08:39:27,853;16.9;eco
2018-04-10;08:54:27,891;16.9;eco
2018-04-10;09:09:27,930;17.1;eco
2018-04-10;09:24:27,967;17.2;eco
2018-04-10;09:39:28,005;17.1;eco
2018-04-10;09:54:28,043;17.2;eco
2018-04-10;10:09:28,081;17.2;eco
2018-04-10;10:24:28,119;17.6;eco
2018-04-10;10:39:28,158;17.9;eco
2018-04-10;10:54:28,195;17.9;eco
2018-04-10;11:09:28,233;18.1;eco
2018-04-10;11:24:28,271;18.1;eco
2018-04-10;11:39:28,312;18.3;eco
2018-04-10;11:54:28,349;19.3;eco
2018-04-10;12:09:28,388;19.6;eco
2018-04-10;12:24:28,425;19.6;eco
2018-04-10;12:39:28,463;20.0;eco
2018-04-10;12:54:28,501;20.2;eco
2018-04-10;13:09:28,539;20.5;eco
2018-04-10;13:24:28,576;20.7;eco
2018-04-10;13:39:28,615;21.2;eco
2018-04-10;13:54:28,652;20.8;eco
2018-04-10;14:09:28,690;20.6;eco
2018-04-10;14:24:28,728;20.1;eco
2018-04-10;14:39:28,766;19.7;eco
2018-04-10;14:54:28,804;19.7;eco
2018-04-10;15:09:28,845;19.8;eco
2018-04-10;15:24:28,882;20.1;eco
2018-04-10;15:39:28,921;22.5;eco
2018-04-10;15:54:28,958;20.9;confort
2018-04-10;16:09:28,996;19.6;confort
2018-04-10;16:24:29,034;19.8;confort
2018-04-10;16:39:29,073;22.3;confort
2018-04-10;16:54:29,110;19.7;confort
2018-04-10;17:09:29,148;19.3;confort
2018-04-10;17:24:29,185;19.1;confort
2018-04-10;17:39:29,223;19.5;confort
2018-04-10;17:54:29,261;19.5;confort
2018-04-10;18:09:29,299;19.3;confort
2018-04-10;18:24:29,335;19.1;confort
2018-04-10;18:39:29,373;18.7;confort
2018-04-10;18:54:29,410;18.8;confort
2018-04-10;19:09:29,448;18.8;confort
2018-04-10;19:24:29,486;18.7;confort
2018-04-10;19:39:29,524;18.7;confort
2018-04-10;19:54:29,561;18.4;confort
2018-04-10;20:09:29,600;18.3;confort
2018-04-10;20:24:29,636;18.3;confort
2018-04-10;20:39:29,674;18.3;confort
2018-04-10;20:54:29,712;18.1;confort
2018-04-10;21:09:29,750;18.4;confort
2018-04-10;21:24:29,787;18.8;confort
2018-04-10;21:39:29,825;19.0;confort
2018-04-10;21:54:29,863;19.1;confort
2018-04-10;22:09:29,901;19.1;confort
2018-04-10;22:24:29,939;19.1;eco
2018-04-10;22:39:29,977;19.0;eco
2018-04-10;22:54:30,014;18.7;eco
2018-04-10;23:09:30,053;18.2;eco
2018-04-10;23:24:30,090;17.9;eco
2018-04-10;23:39:30,129;17.6;eco
2018-04-10;23:54:30,166;17.4;eco
2018-04-11;00:09:30,205;17.1;eco
2018-04-11;00:24:30,242;17.0;eco
2018-04-11;00:39:30,281;16.9;eco
2018-04-11;00:54:30,318;16.6;eco
2018-04-11;01:09:30,356;16.5;eco
2018-04-11;01:24:30,394;16.3;eco
2018-04-11;01:39:30,433;16.3;eco
2018-04-11;01:54:30,470;16.2;eco
2018-04-11;02:09:30,509;16.1;eco
2018-04-11;02:24:30,546;16.0;eco
2018-04-11;02:39:30,584;15.9;eco
2018-04-11;02:54:30,622;15.9;eco
2018-04-11;03:09:30,660;15.8;eco
2018-04-11;03:24:30,698;15.7;eco
2018-04-11;03:39:30,736;15.7;eco
2018-04-11;03:54:30,773;15.7;eco
2018-04-11;04:09:30,812;15.7;eco
2018-04-11;04:24:30,849;15.5;eco
2018-04-11;04:39:30,888;15.6;eco
2018-04-11;04:54:30,925;15.5;eco
2018-04-11;05:09:30,963;15.4;eco
2018-04-11;05:24:31,001;15.4;eco
2018-04-11;05:39:31,039;15.4;eco
2018-04-11;05:54:31,076;15.4;eco
2018-04-11;06:09:31,115;15.4;eco
2018-04-11;06:24:31,152;16.0;eco
2018-04-11;06:39:31,190;15.8;confort
2018-04-11;06:54:31,227;15.8;confort
2018-04-11;07:09:31,265;16.1;confort
2018-04-11;07:24:31,303;16.3;confort
2018-04-11;07:39:31,344;16.3;confort
2018-04-11;07:54:31,391;16.5;eco
2018-04-11;08:06:32,733;16.5;eco
2018-04-11;08:09:35,236;16.5;confort
2018-04-11;08:22:00,973;16.7;eco
2018-04-11;08:37:01,010;17.0;eco
2018-04-11;08:52:01,050;16.9;eco
2018-04-11;09:07:01,089;16.9;eco
2018-04-11;09:22:01,128;17.2;eco
2018-04-11;09:37:01,167;17.6;eco
2018-04-11;09:52:01,207;17.8;eco
2018-04-11;10:07:01,248;18.0;eco
2018-04-11;10:22:01,287;18.3;eco
2018-04-11;10:37:01,327;18.4;eco
2018-04-11;10:52:01,366;18.9;eco
2018-04-11;11:07:01,405;19.1;eco
2018-04-11;11:22:01,444;19.6;eco
2018-04-11;11:37:01,484;20.0;confort
2018-04-11;11:52:01,536;20.4;confort
2018-04-11;12:07:01,584;20.8;confort
2018-04-11;12:22:01,633;20.5;confort
2018-04-11;12:37:01,681;20.9;confort
2018-04-11;12:52:01,730;21.6;confort
2018-04-11;13:07:01,781;21.7;confort
2018-04-11;13:22:01,832;22.0;confort
2018-04-11;13:37:01,884;22.3;confort
2018-04-11;13:52:01,932;21.9;confort
2018-04-11;14:07:01,983;23.1;confort
2018-04-11;14:22:02,031;23.1;confort
2018-04-11;14:37:02,071;22.4;confort
2018-04-11;14:52:02,115;21.8;confort
2018-04-11;15:07:02,163;20.9;confort
2018-04-11;15:22:02,211;21.0;confort
2018-04-11;15:37:02,263;20.7;confort
2018-04-11;15:52:02,312;20.4;confort
2018-04-11;16:07:02,362;20.3;confort
2018-04-11;16:22:02,415;20.8;confort
2018-04-11;16:37:02,465;20.4;confort
